Reference,Date,Value
CNY-REPO-1W,2024/4/18,0.019
CNY-REPO-1W,2024/4/17,0.0195
CNY-REPO-1W,2024/4/16,0.019
CNY-REPO-1W,2024/4/15,0.019
CNY-REPO-1W,2024/4/12,0.019
CNY-REPO-1W,2024/4/11,0.0192
CNY-REPO-1W,2024/4/10,0.019
CNY-REPO-1W,2024/4/9,0.0195
CNY-REPO-1W,2024/4/8,0.02
CNY-REPO-1W,2024/4/7,0.0185
CNY-REPO-1W,2024/4/3,0.02
CNY-REPO-1W,2024/4/2,0.021
CNY-REPO-1W,2024/4/1,0.0205
CNY-REPO-1W,2024/3/29,0.023
CNY-REPO-1W,2024/3/28,0.0235
CNY-REPO-1W,2024/3/27,0.0245
CNY-REPO-1W,2024/3/26,0.024
CNY-REPO-1W,2024/3/25,0.024
CNY-REPO-1W,2024/3/22,0.0205
CNY-REPO-1W,2024/3/21,0.02
CNY-REPO-1W,2024/3/20,0.02
CNY-REPO-1W,2024/3/19,0.02
CNY-REPO-1W,2024/3/18,0.02
CNY-REPO-1W,2024/3/15,0.02
CNY-REPO-1W,2024/3/14,0.02
CNY-REPO-1W,2024/3/13,0.02
CNY-REPO-1W,2024/3/12,0.02
CNY-REPO-1W,2024/3/11,0.02
CNY-REPO-1W,2024/3/8,0.02
CNY-REPO-1W,2024/3/7,0.02
CNY-REPO-1W,2024/3/6,0.0205
CNY-REPO-1W,2024/3/5,0.0204
CNY-REPO-1W,2024/3/4,0.02
CNY-REPO-1W,2024/3/1,0.02
CNY-REPO-1W,2024/2/29,0.0205
CNY-REPO-1W,2024/2/28,0.021
CNY-REPO-1W,2024/2/27,0.0215
CNY-REPO-1W,2024/2/26,0.0215
CNY-REPO-1W,2024/2/23,0.022
CNY-REPO-1W,2024/2/22,0.02
CNY-REPO-1W,2024/2/21,0.02
CNY-REPO-1W,2024/2/20,0.0195
CNY-REPO-1W,2024/2/19,0.0205
CNY-REPO-1W,2024/2/18,0.0181
CNY-REPO-1W,2024/2/9,0.0185
CNY-REPO-1W,2024/2/8,0.018
CNY-REPO-1W,2024/2/7,0.0195
CNY-REPO-1W,2024/2/6,0.0195
CNY-REPO-1W,2024/2/5,0.01931
CNY-REPO-1W,2024/2/4,0.019544
CNY-REPO-1W,2024/2/2,0.0221
CNY-REPO-1W,2024/2/1,0.0195
CNY-REPO-1W,2024/1/31,0.0235
CNY-REPO-1W,2024/1/30,0.0235
CNY-REPO-1W,2024/1/29,0.025
CNY-REPO-1W,2024/1/26,0.024
CNY-REPO-1W,2024/1/25,0.0235
CNY-REPO-1W,2024/1/24,0.0212
CNY-REPO-1W,2024/1/23,0.0215
CNY-REPO-1W,2024/1/22,0.021
CNY-REPO-1W,2024/1/19,0.0215
CNY-REPO-1W,2024/1/18,0.022
CNY-REPO-1W,2024/1/17,0.023
CNY-REPO-1W,2024/1/16,0.0225
CNY-REPO-1W,2024/1/15,0.0225
CNY-REPO-1W,2024/1/12,0.022
