Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2024/4/18,X-Swap,FR007-1D,MarketValue,0.019
2024/4/18,X-Swap,FR007-1W,MarketValue,0.019
2024/4/18,X-Swap,FR007-1M,MarketValue,0.019881
2024/4/18,X-Swap,FR007-3M,MarketValue,0.019675
2024/4/18,X-Swap,FR007-6M,MarketValue,0.019575
2024/4/18,X-Swap,FR007-9M,MarketValue,0.019488
2024/4/18,X-Swap,FR007-1Y,MarketValue,0.019313
2024/4/18,X-Swap,FR007-2Y,MarketValue,0.019313
2024/4/18,X-Swap,FR007-3Y,MarketValue,0.0197
2024/4/18,X-Swap,FR007-4Y,MarketValue,0.020288
2024/4/18,X-Swap,FR007-5Y,MarketValue,0.0209
2024/4/18,X-Swap,FR007-7Y,MarketValue,0.0218
2024/4/18,X-Swap,FR007-10Y,MarketValue,0.022613
